fips,County_Name,State,Country,Lat,Long_,Combined_Key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
66,,Guam,US,13.4443,144.7937,"Guam, US",1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Northern Mariana Islands,US,15.0979,145.6739,"Northern Mariana Islands, US",1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,Puerto Rico,US,18.2208,-66.5901,"Puerto Rico, US",1,1,2,2,2,2,3,3,3,6,8,11,12,15,18,20,21,23,24,33,39,42,44,45,45,51,56,58,60,62,63,64,63,69,77,83,84,84,86,86,92,94,95,97,97,99,99,102,107,108,,,,,,,,,,,,,,,,,,,,,,,,,
78,,Virgin Islands,US,18.3358,-64.8963,"Virgin Islands, US",1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Autauga,Alabama,US,32.53953,-86.64408,"Autauga, Alabama, US",1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,3,4,4,4,3,3,3,3,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,Baldwin,Alabama,US,30.72775,-87.72207,"Baldwin, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Barbour,Alabama,US,31.86826,-85.38713,"Barbour, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Bibb,Alabama,US,32.99642,-87.12511,"Bibb, Alabama, US",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,Blount,Alabama,US,33.98211,-86.56791,"Blount, Alabama, US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Bullock,Alabama,US,32.10031,-85.71266,"Bullock, Alabama, US",1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Butler,Alabama,US,31.753,-86.68057,"Butler, Alabama, US",1,1,1,1,1,1,1,1,1,2,2,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,Calhoun,Alabama,US,33.77484,-85.8263,"Calhoun, Alabama, US",2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,Chambers,Alabama,US,32.9136,-85.39073,"Chambers, Alabama, US",3,3,4,4,4,5,6,6,7,8,8,8,8,8,8,8,10,10,11,11,11,13,13,16,16,16,17,17,18,18,19,19,21,21,21,21,21,21,22,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,Cherokee,Alabama,US,34.17806,-85.60639,"Cherokee, Alabama, US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Chilton,Alabama,US,32.85044,-86.71733,"Chilton, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Choctaw,Alabama,US,32.02227,-88.26564,"Choctaw, Alabama, US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Clarke,Alabama,US,31.681,-87.83549,"Clarke, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Clay,Alabama,US,33.26984,-85.85836,"Clay, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Cleburne,Alabama,US,33.67679,-85.52006,"Cleburne, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Coffee,Alabama,US,31.39933,-85.98901,"Coffee, Alabama, US",1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Colbert,Alabama,US,34.69847,-87.80169,"Colbert, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Conecuh,Alabama,US,31.43402,-86.9932,"Conecuh, Alabama, US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Coosa,Alabama,US,32.9369,-86.24848,"Coosa, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Covington,Alabama,US,31.24779,-86.45051,"Covington, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Crenshaw,Alabama,US,31.72942,-86.31593,"Crenshaw, Alabama, US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Cullman,Alabama,US,34.1302,-86.86888,"Cullman, Alabama, US",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
