,fips,area,population,percent_seniors,percent_poverty,percent_uninsured,income,vent,icu,percent_smoker,percent_inactive,population_density
1,10001,585.806361,174822,16.27998764,13.13793458,6.846964341,28100,12,29,16.8237595,31.2,298.4296717
2,10003,426.3144662,555133,14.67035827,11.08383036,5.260541168,35847,80,183,15.24255813,25.5,1302.167869
3,10005,936.1211566,219540,26.06723148,11.52409584,6.977316207,33983,13,52,16.08500117,30.3,234.5209255
4,1001,594.4434589,55200,14.58333333,15.25724638,7.019927536,29372,2,6,18.08155718,34.7,92.85996704
5,1003,1589.793007,208107,19.54042872,10.40474371,10.02561182,31203,8,51,17.4890326,26.5,130.901947
6,1005,885.0016356,25782,17.97378016,25.58761927,9.921650764,18461,2,5,21.99998453,23.5,29.13214955
7,1007,622.4610887,22527,16.25160918,12.70919341,7.186931238,20199,1,4,19.11419989,33.5,36.19021399
8,1009,644.8304602,57645,17.75175644,14.25969295,10.93416602,22656,2,6,19.20867197,30.3,89.39559087
9,1011,622.8053678,10352,15.61051005,30.04250386,10.39412674,20346,1,5,22.89466401,24.6,16.62156516
10,1013,776.8382008,20025,19.0062422,23.1710362,10.01248439,20430,2,7,21.76533496,39.5,25.77756858
11,1015,605.8672514,115098,16.84303811,18.08806408,9.284262107,24706,15,30,20.61256038,31.7,189.9723079
12,1017,596.560643,33826,18.94696387,16.35132738,10.68113286,22827,0,15,19.39292705,30.1,56.70169562
13,1019,553.5248315,25853,21.74215758,14.80292423,8.250493173,23356,1,8,17.49867379,31.3,46.70612505
14,1021,692.8511876,43930,15.7682677,18.28818575,14.0587298,24611,2,6,20.18897906,33.2,63.40466869
15,1023,913.467075,13075,22.05736138,21.90439771,11.32695985,22182,0,4,18.79324829,36.2,14.31359746
16,1025,1238.419891,24387,18.96912289,24.96412023,10.6368147,21111,2,10,20.57965532,34.6,19.69202867
17,1027,603.960762,13378,19.82359097,17.97727612,10.01644491,23147,2,4,19.62035415,32.6,22.15044559
18,1031,678.9858208,51288,16.32935579,14.82608017,9.756668226,27577,2,7,17.44475759,30.8,75.5361871
19,1033,592.7446865,54495,19.2714928,16.12074502,7.987888797,24918,6,22,18.65882106,36.6,91.93671616
20,1035,850.1996364,12514,21.63177241,21.99136967,14.41585424,17542,0,8,21.10751297,40.7,14.71889597
21,1039,1030.556053,37351,20.48137935,17.94329469,11.01978528,23071,4,13,19.24945154,35.5,36.24354046
22,1041,608.8646296,13865,18.33393437,15.49224666,9.808871259,23353,2,5,18.64692957,33.5,22.77189268
23,1043,734.7802988,82313,17.98379357,15.58806021,11.70046044,22980,5,12,17.90107122,36.7,112.0239616
24,1045,561.1006284,49255,16.11816059,17.86214598,10.70754238,23837,2,6,20.05739493,32,87.78282808
25,1047,978.737527,40029,16.75035599,30.59531839,11.90386969,18910,2,23,24.08899101,26.9,40.8986055
26,1049,777.0984139,71200,16.31882022,21.76966292,14.36938202,21004,3,12,21.02827079,31.7,91.62288679
27,1051,618.4462511,81212,14.49293208,11.65098754,7.667586071,27475,3,11,17.45250185,26.4,131.3161812
28,1053,945.2221437,37328,17.34890699,22.1495928,14.30829404,18161,4,14,22.41258458,32.4,39.49124579
29,1055,535.2816213,102939,18.33804486,17.02367421,10.35759042,24065,14,85,20.1473986,34.1,192.3081158
30,1057,627.6834307,16585,20.45221586,19.64425686,8.718721737,21862,2,8,18.00159326,33.7,26.42255505
31,1059,633.9182505,31542,16.16891763,19.97019847,12.69735591,19776,3,11,19.25058304,38.1,49.75720446
32,1061,574.4802646,26491,19.44811445,23.71371409,13.53667283,20471,2,6,20.00360328,36.8,46.11298531
33,1063,647.0228053,8426,20.36553525,38.2743888,11.34583432,14209,0,4,24.63281871,18.3,13.0227249
34,1065,643.9822718,14887,18.25082287,25.58608182,8.62497481,20272,0,5,22.07729134,27.8,23.117096
35,1069,579.8690621,104352,16.88036645,18.12423336,10.28921343,25990,18,72,19.24978279,30.6,179.9578678
36,1071,1077.986767,52094,19.14231965,19.99846431,9.548124544,21608,2,10,19.95892088,29.1,48.32526854
37,1073,1111.381173,659892,15.02457978,16.62499318,9.420329387,30657,92,393,17.62204526,30.1,593.7584836
38,1077,668.0128629,92585,19.30766323,14.80045364,8.994977588,27189,6,36,16.6560043,28.5,138.5976306
39,1079,690.6840635,33171,17.44596183,16.6048657,8.097434506,23557,2,6,20.18764616,36.4,48.02629994
